SSP_ID_1,SSP_ID_2,K_Vec
45,1769,684
1568,4850,684
3309,3578,685
991,2350,687
1048,2524,689
1155,4557,691
831,1218,692
2510,3267,692
2094,3279,693
3804,4072,694
1438,1797,694
170,4506,696
2094,2778,697
1816,3270,697
2415,2544,699
3244,4538,700
1889,3029,701
3157,4744,703
2665,3405,705
4674,4833,706
1605,2556,707
1932,4927,707
1827,4226,707
594,3029,707
700,4565,708
9,1901,708
989,3096,711
2164,4811,712
2251,2818,714
1515,3742,714
795,936,716
835,4383,717
3047,4253,718
1302,3706,720
2293,3015,720
4400,5039,721
2810,3755,722
2273,4980,725
2637,4892,726
200,1018,728
768,3079,729
387,4868,729
199,4946,729
3146,4453,729
1801,4543,729
3780,4276,730
477,2365,730
3671,4873,730
2300,4211,730
1372,2989,732
1865,4303,733
752,2042,736
1622,4564,736
2536,2879,736
1314,2365,737
3738,4187,738
746,1082,738
95,438,739
3045,4599,739
3225,4626,741
107,3947,741
3035,4637,742
618,4629,744
1798,2881,745
1304,1702,745
1173,1835,747
1143,1718,747
1765,3952,748
1320,2769,748
1810,4638,749
1438,3712,750
325,873,751
1477,3252,752
2502,4189,753
4,4325,754
539,1725,756
3426,4702,757
4472,4650,759
3145,4633,759
4649,4651,761
3844,5012,762
3702,4801,765
874,2987,768
2867,2977,768
4198,4378,769
1237,4974,770
2162,4010,770
698,3087,771
4578,4839,772
413,1309,772
2198,3163,773
3015,3898,774
528,2765,774
2813,4720,774
1233,2176,775
558,1346,775
760,3443,777
3392,4482,778
1798,3278,779
851,3864,780
3676,3728,781
648,5000,782
1166,3543,782
2341,4429,783
4452,4578,784
1802,4720,784
311,1527,785
678,1858,787
1640,3542,790
2681,3203,790
892,2301,790
2426,4677,790
380,4508,791
2890,4311,791
1399,4596,793
156,201,794
2117,3024,796
2239,4654,798
3018,3806,800
1556,4810,804
248,2210,804
1738,1943,805
2095,4077,806
877,2627,808
1143,3823,808
1882,3174,808
1908,3677,810
1972,3943,811
2066,4536,812
2267,2486,813
1799,2224,814
383,4368,814
87,983,816
2528,4896,816
4136,4931,816
1103,1709,817
205,1270,818
1529,2763,818
2973,5054,821
87,3773,821
753,4597,822
2584,5057,824
3478,4728,824
3789,4463,825
864,2483,828
717,1281,828
1340,2402,829
2210,2367,829
3058,3404,831
646,864,833
919,3770,833
2536,3714,834
3401,4826,836
3383,3833,837
392,950,838
920,3770,840
15,618,841
2336,2507,841
1481,4063,841
274,2047,842
3740,4234,843
2602,4558,844
449,4566,845
135,507,849
1798,3428,850
430,3972,851
2191,4250,852
363,4246,852
577,2085,853
4658,4917,853
1553,1728,854
407,3629,856
3816,4271,860
1051,1980,861
526,4036,862
1818,3389,862
1976,4592,863
878,3127,863
848,2231,863
1954,4483,865
27,3441,868
3503,3628,870
155,434,873
759,760,873
992,4150,873
3580,4007,873
113,1186,873
2189,3798,873
1329,3125,874
1196,5022,875
79,3252,876
2376,4702,876
644,2180,879
571,4190,880
3972,4217,880
743,877,882
3479,4944,884
1431,2938,884
1899,5059,884
669,4349,884
1225,2986,884
3307,3809,884
2244,3427,885
985,2704,888
1301,2157,889
491,1283,890
3328,4944,890
2757,4777,896
264,1533,898
717,3198,903
1532,3698,904
2698,3770,905
2370,2863,906
2874,3606,906
3537,4706,906
948,2886,907
1555,1798,907
1273,4399,909
666,2158,910
867,2629,911
1365,4997,912
1311,3284,913
3835,4737,914
821,4331,917
1398,4165,917
2880,2949,918
