st_TM_SNT1,st_TM_SNT2,st_TM_SNT3,st_TM_SNT4,st_TM_SNT5,st_TM_SNT6,st_TM_SNT7,st_TM_SNT8,st_TM_SNT9,st_TM_SNT10,st_TM_SNT11,st_TM_SNT12
213,1995,2494,3224,0,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,0,0,0,0
215,959,0,0,0,0,0,0,0,0,0,0
216,120,0,0,0,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0,0,0,0
219,1512,2125,0,0,0,0,0,0,0,0,0
220,4894,0,0,0,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0,0,0,0,0
224,2760,0,0,0,0,0,0,0,0,0,0
225,618,1850,0,0,0,0,0,0,0,0,0
226,0,0,0,0,0,0,0,0,0,0,0
227,3003,0,0,0,0,0,0,0,0,0,0
228,0,0,0,0,0,0,0,0,0,0,0
229,0,0,0,0,0,0,0,0,0,0,0
230,3855,4658,0,0,0,0,0,0,0,0,0
231,4178,0,0,0,0,0,0,0,0,0,0
232,4218,2922,0,0,0,0,0,0,0,0,0
233,0,0,0,0,0,0,0,0,0,0,0
234,2506,0,0,0,0,0,0,0,0,0,0
235,3826,1735,0,0,0,0,0,0,0,0,0
236,4630,4997,3924,133,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0,0,0,0,0
239,900,3245,2341,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0,0
241,2138,2683,0,0,0,0,0,0,0,0,0
242,3495,4918,889,0,0,0,0,0,0,0,0
243,2217,627,4416,1811,3035,0,0,0,0,0,0
244,3263,2261,3262,0,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0,0,0,0,0
246,0,0,0,0,0,0,0,0,0,0,0
247,0,0,0,0,0,0,0,0,0,0,0
248,2367,0,0,0,0,0,0,0,0,0,0
249,4041,4281,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,0,0
251,0,0,0,0,0,0,0,0,0,0,0
252,0,0,0,0,0,0,0,0,0,0,0
253,4914,574,814,3269,3239,0,0,0,0,0,0
254,770,0,0,0,0,0,0,0,0,0,0
255,4829,4879,278,0,0,0,0,0,0,0,0
256,1115,1012,0,0,0,0,0,0,0,0,0
257,1117,4527,888,1224,2712,1551,3345,426,0,0,0
258,0,0,0,0,0,0,0,0,0,0,0
259,0,0,0,0,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0,0,0,0,0
261,0,0,0,0,0,0,0,0,0,0,0
262,0,0,0,0,0,0,0,0,0,0,0
263,1946,0,0,0,0,0,0,0,0,0,0
264,0,0,0,0,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0,0,0,0,0
266,1954,5029,2988,75,0,0,0,0,0,0,0
267,4565,1423,0,0,0,0,0,0,0,0,0
268,0,0,0,0,0,0,0,0,0,0,0
269,4134,4875,0,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0,0,0,0
271,2580,534,2561,0,0,0,0,0,0,0,0
272,1300,0,0,0,0,0,0,0,0,0,0
273,3111,3606,0,0,0,0,0,0,0,0,0
274,4255,2883,0,0,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0,0,0,0,0
276,23,0,0,0,0,0,0,0,0,0,0
277,1240,71,0,0,0,0,0,0,0,0,0
278,4879,255,0,0,0,0,0,0,0,0,0
279,2493,0,0,0,0,0,0,0,0,0,0
280,4615,287,0,0,0,0,0,0,0,0,0
281,3363,0,0,0,0,0,0,0,0,0,0
282,0,0,0,0,0,0,0,0,0,0,0
283,0,0,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0,0,0,0
285,3511,1783,1495,0,0,0,0,0,0,0,0
286,0,0,0,0,0,0,0,0,0,0,0
