StarID,RA,Dec,Mag
43652,12.16875718,-22.61979211,3.02
16550,5.032815,43.82331397,3.03
45699,12.77135267,-68.10809405,3.04
51541,14.53465494,38.30788348,3.04
69376,19.51202368,27.9596948,3.05
72769,20.35017956,-14.78140119,3.05
37662,10.37216756,41.4994335,3.06
23358,6.73220272,25.13115531,3.06
68192,19.20920972,67.66131695,3.07
64594,18.29381366,-36.76128103,3.1
32366,8.92324579,5.9455277,3.11
73831,20.62610824,-47.29166239,3.11
41784,11.59636896,-63.01982488,3.11
39238,10.82706446,-16.19413208,3.11
19709,5.84932022,-35.76929225,3.12
60696,17.25053449,24.83958739,3.12
32617,8.98689965,48.04234956,3.12
59749,16.97700854,-55.99005508,3.12
53060,14.986027499999999,-42.10414199,3.13
33947,9.35096077,34.39252592,3.14
34614,9.52037604,-57.0343916,3.16
60697,17.25079285,36.80915527,3.16
60353,17.1464514,65.71463676,3.17
22920,6.62935324,-43.19592394,3.17
34738,9.54786812,51.67860208,3.17
66393,18.76093138,-26.9907794,3.17
16813,5.10857473,41.23464074,3.18
52082,14.70852362,-64.97456957,3.18
62823,17.83095867,-37.04337105,3.19
16753,5.09101447,-22.37085673,3.19
59691,16.96118627,9.37505626,3.19
15856,4.83059395,6.96124744,3.19
84631,23.65582834,77.63196681,3.21
76069,21.21560598,30.22708128,3.21
54283,15.35620455,-40.64745946,3.22
77064,21.47765973,70.56069481,3.23
57489,16.30534466,-4.69260809,3.23
64829,18.35525571,-2.897122,3.23
72099,20.18840688,-0.82147569,3.24
23650,6.80320475,-61.94197988,3.24
67277,18.98239571,32.68955312,3.25
26560,7.48718842,-43.30189129,3.25
50094,14.10618582,-26.68201883,3.25
53308,15.06785052,-25.28185602,3.25
12376,3.78728653,-74.23924251,3.26
82126,22.91084423,-15.82075994,3.27
61139,17.36682891,-24.99948797,3.27
2183,0.65544371,30.86122579,3.27
17211,5.2155203000000006,-16.20542901,3.29
37140,10.22896636,-70.03792169,3.29
54497,15.41549558,58.96602354,3.29
38264,10.5337455,-61.68536031,3.3
15002,4.56658845,-55.04500559,3.3
61352,17.42323884,-56.37768824,3.31
21289,6.2479713,22.50682376,3.31
60538,17.20254886,-43.23849039,3.32
3613,1.10141847,-46.71849042,3.32
10058,3.08624916,38.84053298,3.32
43967,12.25706919,57.03259792,3.32
67811,19.11567841,-27.66981416,3.32
63408,17.9837771,-9.77334973,3.32
13863,4.24039753,-62.47397888,3.33
40631,11.23734469,15.4297631,3.33
27973,7.82157187,-24.85978401,3.34
23453,6.75484265,12.89605513,3.35
6182,1.90657873,63.67014686,3.35
30708,8.50445282,60.7184311,3.35
17900,5.40794918,-2.39713844,3.35
69041,19.42493129,3.11457923,3.36
54362,15.37802431,-44.68957314,3.37
31822,8.77962395,6.41890691,3.38
48306,13.5782652,-0.59593821,3.38
37338,10.28472369,-61.33231977,3.39
46201,12.92680091,3.39759862,3.39
79599,22.18090608,58.20124992,3.39
18609,5.58563269,9.93416294,3.39
14714,4.47768747,15.8709468,3.4
86977,17.172748885964,-15.728212356111,3.4
81364,22.69102078,10.83139111,3.41
74331,20.75479684,61.83679404,3.41
13110,4.01133906,12.49037571,3.41
49143,13.82508261,-41.68765971,3.41
53779,15.20477865,-52.09907465,3.41
4797,1.47276157,-43.31772906,3.41
6121,1.88469439,29.57939727,3.42
56446,16.00203902,-38.39664079,3.42
74311,20.74932102,-66.20323826,3.42
62610,17.77436636,27.72249917,3.42
67763,19.10415275,-4.88233456,3.43
37309,10.27816787,23.4173284,3.43
33351,9.18280702,-58.96693014,3.43
37339,10.2849797,42.91446855,3.45
53953,15.25836216,33.31510222,3.46
2666,0.8180835,57.8165477,3.46
3756,1.14312879,-10.181928,3.46
28474,7.94631715,-52.98240062,3.46
8897,2.72170126,3.23617162,3.47
49150,13.82694662,-42.47368506,3.47
36763,10.12220929,16.76266572,3.48
58841,16.71492737,38.92246103,3.48
53203,15.03244253,40.39063671,3.49
81780,22.80922142,-51.31670354,3.49
40863,11.30798759,33.09423881,3.49
65174,18.44956396,-45.96832919,3.49
5668,1.73475762,-15.93955597,3.49
24619,7.02865325,-27.93484165,3.49
25932,7.33538592,21.98233941,3.5
81849,22.82803115,66.20071089,3.5
23774,6.83068485,-32.50848752,3.5
71223,19.97927434,19.49209287,3.51
81865,22.8333612,24.60168486,3.51
36161,9.94770968,-54.5677973,3.52
86675,12.694689647807698,-1.44933013444673,3.52
12165,3.72082113,-9.76519868,3.52
67193,18.96216103,-21.10662433,3.52
79545,22.16994993,6.197789,3.52
66674,18.83466497,33.36267788,3.52
35227,9.68586607,9.89239902,3.52
29788,8.2752634,9.18566295,3.53
14710,4.47692591,19.18052092,3.53
55882,15.82701825,-3.43014112,3.54
41635,11.55007195,-31.85752405,3.54
62094,17.62645145,-15.39840835,3.54
50847,14.32339798,-46.05808391,3.55
64810,18.35064971,72.73369763,3.55
19445,5.78259715,-14.82194717,3.55
71911,20.14496114,-66.17932101,3.55
14055,4.29822737,-33.79833145,3.55
7385,2.27513896,-51.51211145,3.56
40910,11.3223674,-14.77904358,3.56
1133,0.32380084,-8.82382948,3.56
59369,16.87226486,-38.01747781,3.56
27636,7.74079682,24.39812929,3.57
54307,15.36345457,-36.26116729,3.57
32886,9.06043299,47.15665934,3.57
51524,14.53051606,30.37114497,3.57
72550,20.30089401,-12.54485877,3.58
25784,7.30155744,16.54047526,3.58
5315,1.6331951,48.62848641,3.59
42598,11.8448017,1.76537705,3.59
19278,5.74110416,-22.44748663,3.59
44312,12.35605869,-60.40136988,3.59
17476,5.29344415,-6.84438616,3.59
61698,17.51832693,-60.68360667,3.6
55172,15.61707183,-28.13507099,3.6
23969,6.87981668,33.96136985,3.6
31362,8.67155811,-52.92197259,3.6
34575,9.51169804,-40.46688763,3.6
4562,1.40040311,-8.18275372,3.6
11170,3.4135660000000003,9.02906504,3.61
62578,17.76222289,-64.7237345,3.61
36946,10.17649919,-12.35383921,3.61
46536,13.03771597,-71.54879865,3.61
9257,2.8330526000000003,27.26079044,3.61
12503,3.81936977,24.05352412,3.62
59500,16.90975143,-42.36075916,3.62
27693,7.75425108,-37.96859848,3.62
4959,1.52472051,15.34583101,3.62
82539,23.03201291,42.32597866,3.62
42344,11.76015759,-66.72884344,3.63
73828,20.62579715,14.59520289,3.64
63885,18.11052188,-50.09145462,3.65
55688,15.76978191,15.42192602,3.65
34640,9.52543601,63.06179545,3.65
80644,22.48050015,-0.02006304,3.65
14183,4.32987052,15.62770031,3.65
54650,15.46384775,29.10549164,3.66
55262,15.64427343,-29.77768935,3.66
74934,20.91349433,-58.4540947,3.67
50004,14.07317389,64.37580873,3.67
15927,4.853435,5.60510146,3.68
31596,8.72654096,-33.18641133,3.68
70471,19.78979589,18.53425912,3.68
82992,23.15743391,-21.17248555,3.68
35486,9.75411876,-62.50792328,3.69
16579,5.04130001,41.07588953,3.69
42368,11.76753725,47.77933701,3.69
77773,21.66815062,-16.66225343,3.69
6270,1.93245347,-51.60958673,3.69
2056,0.61618528,53.89693161,3.69
83413,23.28597045,3.28224524,3.7
10871,3.32526935,-21.7579421,3.7
63335,17.96273073,29.24792527,3.7
16098,4.90419323,2.44067149,3.71
70987,19.92187948,6.40793334,3.71
20064,5.94008841,-14.16803805,3.71
63931,18.12250574,9.56365345,3.71
55947,15.84691422,4.4775798,3.71
28167,7.87029041,-40.57579889,3.71
12251,3.7479232000000002,24.1134484,3.72
75548,21.08218216,43.92785122,3.72
11608,3.549006,-9.45830584,3.72
20253,5.99209731,54.28498197,3.72
11284,3.45281136,9.7327724,3.73
77851,21.69124253,-77.38946215,3.73
63065,17.8921193,56.87245216,3.73
52290,14.77083106,1.8929383,3.73
82014,22.87690679,-7.57967878,3.73
76190,21.24648517,38.04432043,3.74
57682,16.36534546,19.15302185,3.74
6023,1.85766961,-10.33494526,3.74
62703,17.79821501,2.70745875,3.75
32915,9.0692557,-47.09771376,3.75
22278,6.48029836,-7.03305042,3.76
18498,5.5604212,-62.48985585,3.76
69309,19.49509425,51.72946747,3.76
19727,5.85532022,-20.87751376,3.76
67665,19.07803717,-21.74135451,3.76
80788,22.52149326,50.28244976,3.76
76950,21.44445214,-22.41137838,3.77
30405,8.42895729,-66.13652042,3.77
31392,8.67710424,-46.64875492,3.77
59229,16.82975317,-59.04131648,3.77
73975,20.66062626,15.9120527,3.77
12271,3.75323428,42.57854437,3.77
14373,4.38222981,17.5425843,3.77
9298,2.84494243,55.89552955,3.77
79360,22.11679848,25.3450461,3.77
18872,5.64576814,-2.60006791,3.77
35837,9.84991436,59.03910437,3.78
39461,10.89154617,-58.85326474,3.78
74474,20.79459238,-9.49568988,3.78
52000,14.68581121,13.72833113,3.78
26314,7.42879891,27.79828561,3.78
25106,7.14578458,-70.49919435,3.78
10288,3.1582303,44.85788896,3.79
39447,10.88851107,34.21556641,3.79
72249,20.22719518,46.74132417,3.8
10440,3.20118888,-28.98910623,3.8
68497,19.28503052,53.36816064,3.8
55031,15.58005284,10.53885916,3.8
27226,7.64718924,-26.8038924,3.8
37999,10.464651400000001,-58.73940856,3.81
15088,4.59251991,-30.56231049,3.81
55508,15.71239951,26.29551419,3.81
84541,23.62602991,46.45917621,3.81
41542,11.52341346,69.33112161,3.82
33810,9.31407426,36.80289763,3.82
62201,17.65774789,46.00632216,3.82
6605,2.03411128,2.76376048,3.82
58171,16.51523367,1.98410056,3.82
49660,13.97119018,-42.10070526,3.83
52390,14.79770171,-79.04471242,3.83
37870,10.43486251,-16.83609584,3.83
38557,10.62173798,-48.22561631,3.84
12211,3.73864623,32.28827325,3.84
70523,19.8028371,70.26783533,3.84
63949,18.12570854,28.76247025,3.84
12205,3.73654302,-64.80709398,3.84
32342,8.91746157,-60.64471195,3.84
44963,12.54114193,-72.1329759,3.84
64359,18.2293913,-21.05883031,3.84
38302,10.546854199999999,9.30659431,3.84
14706,4.476231200000001,15.96221721,3.84
19470,5.788078700000001,-51.06671329,3.85
45243,12.62842439,-48.54128816,3.85
64963,18.39493521,21.77034249,3.85
56242,15.94083173,15.66473327,3.85
45013,12.55806736,69.78820992,3.85
37198,10.24563159,-42.12206281,3.85
13838,4.23335592,-42.29387294,3.85
21809,6.36856809,-33.43627251,3.85
65692,18.58678829,-8.24330819,3.85
57345,16.25729615,-63.68564897,3.86
15236,4.63635303,-14.303587,3.86
58299,16.55762893,-78.89695917,3.86
63232,17.93754959,37.25052158,3.86
18332,5.5202043,-35.47043592,3.86
3092,0.94586046,38.49925513,3.86
80250,22.36091665,-1.38735315,3.86
52116,14.71765618,-5.6574291,3.87
56260,15.94807962,-29.21401221,3.87
49683,13.97799204,-44.8035314,3.87
12305,3.76377586,24.36785796,3.87
70803,19.8745455,1.00567827,3.87
31751,8.767126300000001,-46.0415392,3.87
53764,15.19893362,-48.73770212,3.88
35934,9.87943268,26.00708498,3.88
6147,1.8921569999999999,19.29409264,3.88
554,0.15681663,-45.74698836,3.88
83048,23.17261887,-45.24664747,3.88
24072,6.90220967,-24.18422296,3.89
44220,12.33177539,-0.66674709,3.89
71041,19.93844337,35.08349079,3.89
33540,9.23938701,2.31502422,3.89
9608,2.94044549,-8.89760976,3.89
35170,9.66425943,-1.14265722,3.9
41014,11.35012284,-54.49101395,3.9
48088,13.5174079,-39.40727983,3.9
30401,8.42768636,-3.90636482,3.91
57559,16.3290133,46.31327084,3.91
44708,12.46733655,-50.2306048,3.91
13237,4.05260466,5.98930909,3.91
53371,15.08530713,-47.05119386,3.91
55074,15.59209426,-14.78955365,3.91
76260,21.26372131,5.2480739,3.92
68795,19.36121535,-17.84725155,3.92
59842,17.00483505,30.92633926,3.92
40321,11.14316545,-58.97504198,3.93
4948,1.5208282,-49.07307701,3.93
9483,2.90429513,52.76248991,3.93
27454,7.69699889,-72.60613528,3.93
1484,0.43669894,-43.67990933,3.93
15125,4.60531682,-3.352448,3.93
63509,18.01075431,2.93158759,3.93
56828,16.11345346,-20.66913479,3.93
3746,1.13973891,-55.24583235,3.94
31661,8.7447528,18.15486399,3.94
75075,20.95289212,41.16719384,3.94
27590,7.73013114,-28.9548352,3.94
27412,7.68746574,-9.55108315,3.94
6693,2.05727509,72.42123962,3.95
22848,6.61138858,-19.25570928,3.95
86727,13.398898541115999,54.92089219142421,3.95
68849,19.37730181,-44.45891013,3.96
33367,9.18799107,-62.31701587,3.96
32713,9.01076451,41.78344401,3.96
20232,5.98577514,-42.81510761,3.96
13547,4.14435368,47.71259359,3.96
72378,20.25786618,47.7142053,3.96
83739,23.38286152,-20.10034505,3.96
68927,19.398097600000003,-40.61564629,3.96
31345,8.66837126,-35.30830091,3.97
43743,12.19420872,-52.36841559,3.97
14433,4.40060148,-34.01698632,3.97
81652,22.77551177,23.56567939,3.97
19744,5.85816462,39.14847936,3.97
71336,20.00983148,-72.91018443,3.97
80669,22.48782057,-43.49555433,3.97
25682,7.28050856,-67.95717248,3.97
55955,15.84931715,-33.62710488,3.97
77410,21.56635357,45.59206564,3.98
13038,3.98274992,35.79102701,3.98
83430,23.29050334,-58.23592762,3.99
21285,6.24759346,-6.27472737,3.99
37781,10.40659458,-74.03154474,3.99
47776,13.42039322,54.98799884,3.99
6503,2.00006244,-21.07777193,3.99
32817,9.04077745,-66.39584369,4.0
41155,11.39871355,10.52969772,4.0
57143,16.19992791,-19.46064684,4.0
73323,20.48992526,30.36855661,4.01
24803,7.06848205,20.57029939,4.01
5645,1.72767091,50.6887655,4.01
57565,16.33071322,-50.15537923,4.01
15601,4.7583725,-3.25462465,4.01
25534,7.24685045,-26.77268601,4.01
56548,16.03158437,58.56443739,4.01
52049,14.69933688,-37.79342394,4.01
66203,18.71725939,-71.42772867,4.01
43576,12.14020907,-24.72877993,4.02
67464,19.02801149,-5.73901832,4.02
32055,8.84222536,-27.71005869,4.02
67320,18.99371922,15.06847757,4.02
31816,8.7782873,28.76000509,4.03
63802,18.09089245,2.50243928,4.03
7432,2.28856547,33.84732099,4.03
16629,5.05697146,60.44228144,4.03
73583,20.55354577,11.30333217,4.03
46146,12.90990489,-57.17789116,4.03
85716,23.98850066,6.86359373,4.03
42357,11.76432515,6.52981394,4.04
13722,4.19775922,-6.8377787,4.04
80999,22.58925803,-0.11736123,4.04
51152,14.42000537,51.85171354,4.04
81843,22.8265305,-13.59253756,4.05
49140,13.82463829,15.79780583,4.05
29930,8.30868523,-76.91998251,4.05
50903,14.34263313,-37.88526711,4.05
41020,11.35229115,6.02935289,4.05
51829,14.63145864,-49.42575765,4.05
10260,3.1508008999999997,49.61350009,4.05
31643,8.73999055,-42.64932331,4.05
27015,7.59871452,26.89600343,4.06
44074,12.29295453,-67.96067161,4.06
16222,4.93953363,13.51457755,4.06
59801,16.99306851,-53.16049005,4.06
52146,14.7276343,-35.17322549,4.06
44132,12.30730353,-64.00304555,4.06
41196,11.41471755,-17.68401748,4.06
53584,15.1473971,-45.27979406,4.07
54066,15.29193339,-58.80087882,4.07
50649,14.26691247,-5.99952622,4.07
80665,22.48617998,58.4151899,4.07
75605,21.09910538,-17.23271095,4.08
24079,6.90318908,-12.03859273,4.08
7679,2.36250639,-68.6594239,4.08
34823,9.57407306,-59.22976797,4.08
76662,21.36809274,19.80435581,4.08
2574,0.78899727,24.26737703,4.08
39806,10.9963191,-18.29909723,4.08
67018,18.92224587,43.9458926,4.08
9912,3.03988697,-23.62433613,4.08
8669,2.65804119,0.3285168,4.08
18727,5.61509185,9.291412,4.09
55840,15.81233572,18.1417793,4.09
8956,2.73657999,49.22866639,4.1
27968,7.82063861,-46.37322729,4.1
5246,1.61332694,41.40638491,4.1
68031,19.16715345,-39.34070677,4.1
65286,18.48048221,-49.07003097,4.1
67998,19.15785508,-37.90423953,4.11
38443,10.59117177,-78.60781379,4.11
82475,23.01468731,-52.75410562,4.11
55152,15.61199636,-66.31690469,4.11
8741,2.6777588,-39.85530905,4.11
31183,8.62740038,-42.98910371,4.11
42398,11.77523583,-61.17835907,4.11
24766,7.06263699,-15.63325876,4.11
35865,9.85796735,-14.84654997,4.11
13888,4.24829381,48.40937312,4.12
20446,6.03971954,9.64736756,4.12
8674,2.65978435,-68.2669476,4.12
74748,20.86369338,-26.91912642,4.12
43404,12.08685266,8.73284563,4.12
80703,22.49595707,-43.74922804,4.12
70985,19.92102196,-41.8684135,4.12
22291,6.48271957,20.2121672,4.13
74379,20.76826836,-25.27051682,4.13
81627,22.76770092,-81.38161731,4.13
17877,5.39912122,-7.80795569,4.13
56097,15.89707695,-16.7296223,4.13
84662,23.66578342,5.62735374,4.13
31185,8.62761315,5.70379868,4.14
56297,15.95980608,26.87802632,4.14
43487,12.11468134,-64.61363898,4.14
78049,21.7440845,25.64500284,4.14
79925,22.26615838,37.74873483,4.14
11475,3.51454638,12.93668186,4.14
12332,3.77210009,23.94846207,4.14
54937,15.548832199999998,31.35915517,4.14
25326,7.19773899,-0.49278056,4.15
84683,23.67345605,44.33397776,4.15
61241,17.39471468,37.14592396,4.15
61406,17.43950482,-24.17502346,4.16
26553,7.48516936,31.78407932,4.16
20530,6.06867126,23.26363207,4.16
79976,22.28054621,-7.78323706,4.17
1833,0.54999626,62.93178781,4.17
12522,3.82424469,-36.2001125,4.17
50455,14.21492805,-10.274044,4.18
81310,22.67759043,-27.0436148,4.18
50672,14.27310454,46.08791894,4.18
58463,16.60623914,-35.25535553,4.18
79864,22.25046638,57.04346522,4.18
49138,13.82409757,-34.45063035,4.19
66394,18.76103644,20.54712356,4.19
28482,7.94765507,-22.88014849,4.2
82211,22.932470000000002,-32.53970196,4.2
18305,5.51306886,5.94821792,4.2
38001,10.46474791,36.70747818,4.2
58344,16.5683859,42.43689565,4.2
81657,22.77817819,12.17408381,4.2
76933,21.44069225,-65.36814438,4.21
11380,3.48448178,59.94033461,4.21
73336,20.49300758,62.99413722,4.21
14508,4.42280521,22.29398098,4.21
59031,16.76615597,82.03725071,4.21
9289,2.84303172,38.31890838,4.22
28232,7.88837857,-48.10294824,4.22
66965,18.90841352,36.89860518,4.22
83242,23.23870347,-6.0485268,4.22
12357,3.78083028,-23.248438,4.22
66820,18.87028792,-62.18756062,4.22
74355,20.761044199999997,30.7196568,4.22
66494,18.7862437,-4.74782871,4.22
57962,16.45039952,-18.45619698,4.22
76345,21.29026459,39.39469016,4.22
64786,18.34595588,71.33772734,4.22
56818,16.10987675,-36.80221297,4.22
27552,7.72185703,28.8840717,4.23
49844,14.02743976,1.54458338,4.23
78173,21.77989052,49.3095748,4.23
1161,0.33386505,-64.8776232,4.23
48937,13.76154628,-33.04336606,4.23
67779,19.10695543,-37.06275714,4.23
47030,13.19803407,27.87603769,4.23
56948,16.14616647,44.93481883,4.23
58858,16.71817212,-77.51657182,4.23
77981,21.72512637,58.78005308,4.23
62312,17.69025458,-12.87517268,4.24
44124,12.30581775,-79.31226899,4.24
83335,23.26479915,-9.08769554,4.24
8950,2.73537623,-13.85867594,4.24
45037,12.5625257,41.35676779,4.24
