SSP_ID_1,SSP_ID_2,K_Vec
776,1030,1548
1185,3915,1549
816,1198,1549
1680,2346,1550
2174,4572,1551
2153,3561,1551
168,1331,1552
1314,2203,1552
888,2104,1553
3973,4491,1554
2231,4412,1555
2317,4007,1555
2913,3675,1556
4726,4728,1556
10,3856,1557
1019,4664,1563
1810,2708,1563
362,3117,1564
1861,4485,1565
180,4673,1566
619,4003,1568
394,3984,1568
477,2203,1569
841,2937,1569
1995,3977,1571
778,1728,1573
449,4314,1574
169,727,1574
487,4209,1577
106,4171,1578
2043,2620,1578
2380,3493,1578
210,3226,1578
891,3465,1578
2250,4820,1578
992,1133,1578
1566,2613,1580
709,3249,1581
1474,4884,1581
865,1771,1582
2262,4379,1582
859,3260,1582
775,3567,1583
1903,3672,1585
35,1638,1586
274,3119,1586
1539,2224,1587
2985,4344,1587
2225,5024,1588
1382,3010,1591
2309,3033,1593
2295,3207,1593
924,1459,1595
698,1506,1596
3561,3786,1596
1918,4467,1597
4770,4771,1597
770,3084,1601
2419,4718,1601
2627,4636,1602
338,823,1602
656,4071,1603
811,2822,1603
2947,3901,1604
3600,4046,1606
1148,2905,1609
469,2650,1610
698,745,1615
3588,4669,1617
2668,4181,1617
91,391,1619
598,2404,1619
2558,3822,1619
3725,4177,1619
1368,4642,1619
2920,4553,1621
1986,3971,1623
2966,3515,1625
1848,2557,1625
2765,4679,1625
127,328,1626
2401,4694,1628
2757,4925,1628
443,714,1628
358,3716,1631
2400,4192,1633
1438,4383,1633
2503,3036,1637
3281,3429,1637
2883,4545,1637
3203,4589,1637
1939,3031,1637
1010,1943,1638
2811,4384,1638
1092,3580,1640
1352,2477,1641
4115,4669,1641
3667,4255,1641
1668,2904,1642
1350,3444,1642
2319,2390,1644
1527,3588,1645
726,1796,1645
352,4886,1647
1650,4333,1647
43,4888,1647
3269,3856,1648
472,4024,1649
2561,3560,1650
1776,3680,1650
2842,3707,1651
3198,4906,1651
2216,3650,1652
1622,4885,1652
530,3854,1655
2247,3433,1655
2361,3720,1656
4384,5023,1657
853,3392,1657
908,1835,1658
803,3738,1658
1014,3577,1658
2341,4352,1659
368,2318,1659
3081,4975,1660
1107,1183,1664
334,2448,1666
664,3488,1666
2896,4958,1667
1729,3707,1667
2413,3083,1667
1417,4478,1667
2445,2659,1668
1283,2652,1670
2968,4367,1671
1609,4509,1671
3695,4234,1671
1271,3124,1672
2233,2427,1673
224,228,1675
2323,4215,1676
841,2976,1676
1064,2908,1676
3588,4115,1677
2026,3960,1678
2235,3989,1678
682,2635,1678
2175,4407,1679
828,4138,1680
1361,2207,1681
1261,4184,1681
2435,2840,1683
2042,3075,1683
1332,3318,1684
3060,4023,1684
4795,4850,1686
