SSP_ID,RA,Dec,Magnitude,pm_RA,pm_Dec,r0_1,r0_2,r0_3
4300,120.232807083333,25.3928358333333,5.86,0.00131,0.0065,-0.45486963732006,0.780515952580707,0.428822178544147
4301,128.431159583333,4.75700027777778,5.86,-0.00096,-0.0062,-0.619432802887685,0.780657174170339,0.0829299651699428
4302,138.73820125,-37.6023891666667,5.86,0.00034,-0.0123,-0.595548179861401,0.522498735489893,-0.61017820091776
4303,140.43037125,56.6992194444444,5.86,-0.00128,-0.0119,-0.423223575983297,0.349743280567594,0.835799881807677
4304,142.680077916667,33.6557105555556,5.86,-0.00168,-0.0482,-0.661962988719641,0.504644499991351,0.554201164013429
4305,177.92337375,-30.8348086111111,5.86,-0.00081,-0.2933,-0.858084750208552,0.0311140192379952,-0.512564609845807
4306,188.784031666667,21.8813838888889,5.86,0.00158,-0.0196,-0.917073362666738,-0.141708755015711,0.37268629735881
4307,189.764410416667,-30.4223872222222,5.86,-0.00299,-0.0156,-0.849823885309545,-0.1462465096749,-0.506370736087009
4308,200.828724166667,-4.9244275,5.86,-0.00131,-0.0161,-0.931197551410789,-0.354263070632465,-0.085841697517052
4309,214.659399166667,-18.7159675,5.86,-0.00462,-0.0354,-0.779051671278553,-0.538624614409432,-0.320876951852862
4310,218.384899166667,-54.9986277777778,5.86,-0.01086,-0.005,-0.449617362590975,-0.356169427711727,-0.81913830701551
4311,224.7232525,-11.1440138888889,5.86,-0.00725,-0.0615,-0.697116845799265,-0.690414800659488,-0.193275726187236
4312,228.472135833333,-26.1935694444444,5.86,-0.00104,-0.0042,-0.594900973705487,-0.671754663456211,-0.441405146785915
4313,237.489567916667,-48.9124075,5.86,-0.0028,-0.0104,-0.353220689853041,-0.554222713588873,-0.753705730376204
4314,238.884856666667,-60.1776472222222,5.86,-0.00635,-0.0712,-0.256991001539082,-0.425764385709144,-0.867571503099114
4315,242.182169583333,-23.6854158333333,5.86,-0.00074,-0.0258,-0.427352576043238,-0.80993523454066,-0.401714689299227
4316,242.823775,-41.1198033333333,5.86,-0.00702,-0.1255,-0.344070326624023,-0.670172324744829,-0.65763566317753
4317,249.609549583333,-43.3984258333333,5.86,-0.00107,-0.0206,-0.253156689833257,-0.681065249737023,-0.687067548348279
4318,260.73009125,-58.0103272222222,5.86,-0.0007,-0.0156,-0.0853376911072423,-0.522847890945203,-0.848143597164206
4319,271.956505,26.1012802777778,5.86,-0.00014,0.0244,0.0306590605777494,-0.897494229765168,0.439959236228446
4320,272.7731725,-41.3591133333333,5.86,0.00288,-0.0383,0.036314768299578,-0.749703788352861,-0.660776412512369
4321,272.815840833333,-75.89151,5.86,0.00457,-0.2944,0.0119748697215468,-0.243464407365467,-0.969835906141515
4322,278.19231375,23.6168011111111,5.86,0.00097,0.0102,0.130561430117228,-0.906895336642684,0.40061772469712
4323,279.722502083333,-21.0518711111111,5.86,-0.00535,-0.1519,0.157604928393757,-0.919851461969375,-0.359212993165339
4324,287.490224166667,-41.8922561111111,5.86,-2e-05,-0.011,0.223724803766457,-0.709986798385574,-0.667731950933803
4325,295.937903333333,41.7731083333333,5.86,0.00171,0.0101,0.326205602521965,-0.670664423890179,0.666182509085413
4326,299.947282083333,-9.95822777777778,5.86,-0.016,-0.3915,0.491682011455607,-0.853430702873069,-0.172930144869388
4327,304.505822916667,-21.8099602777778,5.86,0.00254,-0.0247,0.525941346355998,-0.765082822846918,-0.371529237581422
4328,312.323390833333,-25.78124,5.86,0.00095,-0.0186,0.606293520228143,-0.665761662101171,-0.434936290283592
4329,320.267992916667,-4.56012527777778,5.86,-0.00086,0.011,0.766608158848655,-0.63717411570288,-0.0795052014960483
4330,348.360429166667,11.0650013888889,5.86,-0.00062,-0.006,0.961228504914254,-0.198003810225962,0.191922516855913
4331,358.694264166667,0.109308611111111,5.86,-0.00273,-0.0146,0.999738513734685,-0.0227873753993002,0.00190779400737641
4332,1.05692708333333,62.2876636111111,5.87,-0.00014,-0.0004,0.464953549646088,0.00857790490522618,0.885293519810769
4333,2.67847791666667,-12.5798966666667,5.87,0.0102,-0.0382,0.974926968191757,0.04560936775414,-0.217800808688805
4334,7.8568325,33.5816422222222,5.87,0.00397,-0.0163,0.825277990088803,0.113883101608516,0.553124649824078
4335,13.9266675,-7.34714888888889,5.87,-0.00047,-0.0448,0.962635460500321,0.238703731640909,-0.12788079874649
4336,33.2541133333333,-21.0001375,5.87,0.00399,0.0408,0.780702916660853,0.511931404441529,-0.358370189976456
4337,42.923875,46.8419394444444,5.87,-0.00256,-0.0258,0.500875041369232,0.465830902880724,0.729469507830656
4338,60.2031891666667,18.194,5.87,0.00909,-0.0283,0.472081738569128,0.824407584051052,0.31223543595924
4339,61.5132583333333,68.6799725,5.87,0.00134,0.003,0.17340995039594,0.319557717205622,0.931564197722309
4340,66.8698645833333,11.2123044444444,5.87,-0.00017,-0.0132,0.38532324716186,0.902062710311079,0.194445009868779
4341,70.8399741666667,49.9737888888889,5.87,-0.00054,-0.0153,0.211082834609254,0.60751173204087,0.76575030680113
4342,76.3488191666667,1.17762666666667,5.87,0.00026,-0.0038,0.235960397818293,0.97154531819981,0.0205520156058476
