Star_ID,RA,Dec,Distance,pm_RA,pm_Dec,Magnitude,Spectral_Type,Color_Index,x,y,z,v_x,v_y,v_z,RA_Radians,Dec_Radians,pm_RA_Radians,pm_Dec_Radians,Luminosity,RA_hrs,x0,y0,z0
744,2.293305,59.14978,16.7842,523.39,-180.42,2.28,F2III-IV,0.38,8.600014,0.344589,14.409503,1.681e-05,4.329e-05,2.39e-06,0.0400258528303233,1.03235840436763,2.53746632265972e-06,-8.74700842e-07,30.0607630262823,0.152887,0.512384840770291,0.020519532708453,0.858510759237315
759,2.337765,-27.987928,77.4593,72.57,-9.99,5.42,F3V,0.414,68.343305,2.790097,-36.350566,5.25e-06,2.749e-05,-7.63e-06,0.0408016535062698,-0.488481496787752,3.51829287979167e-07,-4.8432886e-08,35.4813389233575,0.155851,0.882311552703746,0.036019798639623,-0.469285518710589
763,2.35254,-45.747426,44.2087,122.15,-180.13,3.88,K0III,1.013,30.82377,1.266396,-31.665333,-3.526e-05,2.475e-05,-2.02e-05,0.0410596787492195,-0.798443209330218,5.92199910798611e-07,-8.73294882e-07,47.7749234659094,0.156836,0.697234496004323,0.0286442465563272,-0.716270594622464
811,2.50917,11.145813,93.633,29.73,1.64,5.54,B9V,-0.064,91.778975,4.021883,18.099895,1.33e-05,1.409e-05,3.5e-06,0.0437933601821883,0.19453113557076,1.44135107229167e-07,7.950944e-09,46.4301407281803,0.167278,0.98019772374098,0.0429535344104977,0.193306534433388
812,2.509395,-82.224047,78.064,-21.66,-20.39,5.29,K1/K2III,1.049,10.551931,0.46238,-77.346312,-5.21e-06,-8.43e-06,-1.624e-05,0.0437973201568719,-1.4350803419682,-1.05010643208333e-07,-9.8853509e-08,40.6256198186843,0.167293,0.135169999377457,0.00592385635896393,-0.990804712945057
838,2.57862,-5.248588,58.309,34.98,-29.01,5.84,K1III,0.973,58.00594,2.612349,-5.333956,2.322e-05,1.094e-05,-1.041e-05,0.0450054708934728,-0.09160513463892,1.69587825458333e-07,-1.40644448e-07,13.6646968074047,0.171908,0.994798855277864,0.0448015819351711,-0.0914770779701515
839,2.58018,46.072272,377.3585,4.51,0.21,5.01,F2II,0.405,261.527194,11.785276,271.779391,-4.19e-06,8.07e-06,-3.42e-06,0.0450327403195987,0.804112832908445,2.18650969930556e-08,1.018108e-09,1229.13617306017,0.172012,0.693047131396768,0.03123085367269,0.720215459040964
871,2.678475,-12.579897,75.0188,149.39,-38.22,5.84,K0III,1,73.137904,3.421562,-16.339167,4.2e-07,5.441e-05,-1.49e-05,0.0467480993026271,-0.219560616338145,7.24263157381944e-07,-1.85295788e-07,22.6151774610836,0.178565,0.974926969247791,0.0456093180658433,-0.217800814366903
908,2.816085,-15.467977,18.7477,-84.2,-269.31,4.89,F5V,0.487,18.046958,0.887717,-5.000042,8.23e-06,-7.26e-06,-2.757e-05,0.0491498571352085,-0.269967134452576,-4.08213119027778e-07,-1.305651723e-06,3.38844156139202,0.187739,0.962615788372161,0.0473506576924593,-0.266699754766917
928,2.89341,-27.799737,243.309,4.61,17.09,5.41,K2III,1.346,214.952607,10.864269,-113.475053,3.69e-06,5.63e-06,2.069e-05,0.0504996265617184,-0.485196935021742,2.23499106736111e-08,8.2854658e-08,353.508613361997,0.192894,0.883455422605683,0.0446520483102979,-0.466382579917292
948,2.93328,-35.133119,21.2766,169.01,113.75,5.24,F3/F5V,0.459,17.377471,0.890451,-12.244148,-5.43e-06,1.718e-05,1.754e-05,0.0511953526065132,-0.613188611588841,8.19383601506944e-07,5.51475561e-07,3.16227766016838,0.195552,0.816745704810076,0.0418501871221838,-0.575478075613772
981,3.041595,-17.938278,190.8397,60.48,-24.69,5.29,K4III,1.478,181.306922,9.633925,-58.777132,-1.777e-05,5.509e-05,-1.921e-05,0.0530859466339975,-0.313082006379349,2.93215314e-07,-1.19700497e-07,242.7727847681,0.202773,0.950048610516754,0.0504815651614823,-0.307992287621026
1065,3.30897,15.183596,120.048,4.7,-8.24,2.83,B2IV,-0.19,115.664183,6.687324,31.442127,5.04e-06,3.03e-06,-3.56e-06,0.0577524133796261,0.265003740449339,2.27862429861111e-08,-3.9948647e-08,926.403100736399,0.220598,0.96348251274739,0.0557053939979136,0.261912879999273
1072,3.331485,-84.993978,298.5075,10.97,17.4,5.78,M0/M1III,1.71,26.003872,1.513836,-297.368888,2.447e-05,1.733e-05,-1.88e-06,0.0581452733605316,-1.48342476487118,5.31840607569444e-08,8.435758e-08,378.442584717093,0.222099,0.0871129788094466,0.00507093348707134,-0.996185532195943
1084,3.3786,41.03537,34.904,-122.76,-146.91,5.71,F0IV,0.331,26.282289,1.551559,22.915172,-4.82e-06,-2.109e-05,-3.822e-05,0.0589676693738503,0.716202308901942,-5.9515727425e-07,-7.12239778e-07,5.51569191260803,0.22524,0.752993386582654,0.0444538204109946,0.656524803502238
1094,3.426015,-26.022345,396.8254,37.59,-78.73,5.94,K5III,1.548,355.958884,21.310082,-174.095773,-9.817e-05,6.656e-05,-0.00012264,0.0597951496127971,-0.454175604820838,1.82241462520833e-07,-3.8169381e-07,577.03213533293,0.228401,0.897016994273025,0.0537013660456567,-0.438721637567853
1156,3.61512,-7.780532,178.5714,61.01,2.36,5.13,M3IIIvar,1.601,176.575373,11.155955,-24.174803,-5.08e-06,5.26e-05,2.3e-06,0.0630956771172319,-0.135795901885983,2.95784826506944e-07,1.1441602e-08,246.376907672177,0.241008,0.988822339467713,0.0624734097673221,-0.135378927612989
1166,3.65067,20.206702,112.8668,90.66,1.88,4.79,M2III,1.572,105.704826,6.744268,38.98495,-4.757e-05,4.667e-05,-1.528e-05,0.0637162239057244,0.352673475751849,4.39532082791667e-07,9.114497e-09,134.648028838785,0.243378,0.936548326359863,0.059754195522673,0.345407974010412
1169,3.660075,-18.932866,137.1742,-27.15,-73.78,4.44,M1III,1.64,129.488149,8.283,-44.507481,-3.694e-05,-2.045e-05,-3.878e-05,0.0638802752645001,-0.330440840835914,-1.31626914270833e-07,-3.57695533e-07,274.410041825657,0.244005,0.94397008791941,0.0603833064332345,-0.324460058277766
1189,3.72714,-9.569571,103.8422,22.64,-8.45,5.77,B9V,-0.084,102.180753,6.656346,-17.26328,1.566e-05,1.244e-05,-7.08e-06,0.0650509314159012,-0.167020522459115,1.09761817277778e-07,-4.0966756e-08,46.2168136092245,0.248476,0.983998837313865,0.0641004168265066,-0.166245074295841
1286,4.03689,-31.446394,152.207,117.87,-27.11,5.66,K2III,1.35,129.530168,9.141561,-79.406606,6.1e-06,8.762e-05,-3.094e-05,0.0704570791864961,-0.548843114038645,5.71449885270833e-07,-1.31432988e-07,109.849984505838,0.269126,0.85101197006581,0.0600591838098723,-0.521700604987957
1351,4.237695,61.533185,190.1141,-6,-3.46,5.74,G8III,0.898,90.370066,6.696118,167.128006,1.26e-06,-5.45e-06,-5.12e-06,0.0739617654728177,1.07395668522266,-2.90888208333333e-08,-1.6774553e-08,159.220872705117,0.282513,0.475346557236364,0.0352217022357526,0.879093329638641
1363,4.272945,38.681636,94.697,-50.01,-17.9,4.61,A2V,0.059,73.717927,5.507828,59.184918,7.63e-06,-2.245e-05,-5.78e-06,0.0745769335159356,0.67512190066058,-2.42455321645833e-07,-8.6781648e-08,111.892248195524,0.284863,0.77846094516095,0.0581631190464623,0.624992486708367
1369,4.287675,47.947405,343.6426,4.05,-3.97,5.86,B7III,-0.079,229.531844,17.208961,255.164977,-1.76e-06,6.63e-06,-1.126e-05,0.0748340838058481,0.836840088587849,1.96349540625e-08,-1.9247103e-08,466.015111702184,0.285845,0.667937853615071,0.0500780081781054,0.742530280059342
1470,4.581945,36.785224,41.3223,-66.51,-42.48,4.51,A2V,0.054,32.988623,2.643715,24.744457,-3.9e-07,-1.34e-05,-1.171e-05,0.0799700055661843,0.642023274947554,-3.224495789375e-07,-2.05948851e-07,23.3560824662522,0.305463,0.798326276363375,0.063978617035586,0.598817078104827
