SSP_ID,SKY2000_ID,RA,DE,Vmag,pmRA,pmDE,X,Y,Z
2402,J012615.26+191020.4,21.5635920833333,19.1723455555556,5.35,-0.00189,0.0102,0.878427193700892,0.347148405280276,0.328410794704036
2403,J025342.61+382014.9,43.4275729166667,38.3374930555556,5.35,0.00405,-0.0785,0.569644414474102,0.539205463001725,0.620292438876659
2404,J040409.87+024937.0,61.0411458333333,2.82694722222222,5.35,0.00998,-0.1257,0.483592180796687,0.873902847893779,0.0493195206327827
2405,J044601.74+114220.1,71.5072541666667,11.7055911111111,5.35,0.00459,-0.0071,0.31058810508839,0.928640715282108,0.202882850181916
2406,J050752.89+082954.3,76.9703908333333,8.49842888888889,5.35,0.00236,-0.0595,0.222979046805366,0.963556297831533,0.14778229120893
2407,J055121.98-073104.8,87.8415991666667,-7.51800305555556,5.35,5e-05,-0.0002,0.0373385391501206,0.990700422466265,-0.130837710234086
2408,J060635.09+382857.5,91.6462404166667,38.4826441666667,5.35,0.00092,-0.0527,-0.022488467024904,0.78247359576606,0.622277543207051
2409,J060959.01+585608.4,92.4958941666667,58.9356941666667,5.35,0.00228,0.0188,-0.0224706531848864,0.515510284884318,0.85658870873012
2410,J061251.06+654306.3,93.2127625,65.7184219444444,5.35,0.00117,-0.0318,-0.023046447016359,0.410574985354735,0.911535541095838
2411,J061540.54+595956.3,93.91892125,59.9989755555556,5.35,0.00381,-0.0241,-0.0341734384381843,0.498846329782533,0.866016463681729
2412,J063849.18+395409.2,99.7049175,39.9025588888889,5.35,-0.00073,-0.012,-0.129319252395485,0.756158016270892,0.641483893320122
2413,J071420.06+030641.0,108.583594166667,3.11141388888889,5.35,-0.00035,-0.003,-0.318218131157232,0.946462439292602,0.0542777303421607
2414,J071521.07-304111.2,108.8377975,-30.6864466666667,5.35,-0.00101,0.0114,-0.277676791298554,0.813909816183327,-0.510339505324213
2415,J075657.80-433001.4,119.24083625,-43.5004111111111,5.35,-0.00097,0.0053,-0.354329686194334,0.632938611708231,-0.688359780413035
2416,J080011.73+735504.5,120.04891,73.9179191666667,5.35,-0.00203,-0.0374,-0.138711817755748,0.239782974992136,0.960865836898584
2417,J081133.00-074621.1,122.887518333333,-7.77253916666667,5.35,-0.00289,-0.0258,-0.538002942484684,0.832023307621613,-0.135240709300909
2418,J083135.73+180539.9,127.898875416667,18.0944202777778,5.35,-0.00421,-0.0565,-0.583891606811582,0.750072167038216,0.310583862635493
2419,J091513.85+145629.4,138.80772,14.9415066666667,5.35,-0.00273,-0.0123,-0.727061167529199,0.636320916072798,0.257832795507772
2420,J134303.71+033216.4,205.765467916667,3.5379025,5.35,-0.01965,-0.0729,-0.898864589387904,-0.433859968207042,0.061708815674085
2421,J162942.32-461435.6,247.426365,-46.2432286111111,5.35,-0.00033,-0.0038,-0.265484205273132,-0.638612961208081,-0.722282231906295
2422,J165522.16+182559.5,253.84236375,18.4332125,5.35,-0.00807,0.0119,-0.264003204736545,-0.911219232613782,0.316199016449425
2423,J181512.90-204341.7,273.803780416667,-20.7282697222222,5.35,0.00021,-0.0013,0.062045532471982,-0.933209201123861,-0.353936348568544
2424,J182253.07-364010.4,275.721152916667,-36.6695555555556,5.35,-0.00014,-0.026,0.0799583378164326,-0.798097724224456,-0.597199034494679
2425,J185616.95-424238.4,284.070629583333,-42.7106755555556,5.35,-0.00245,-0.0305,0.178640106522035,-0.712742203256772,-0.678296590024216
2426,J193441.25+422445.0,293.67191375,42.4125086111111,5.35,0.00023,-0.0313,0.296429874661688,-0.676186510697201,0.674463588460637
2427,J221247.82+343616.5,333.19927,34.6045919444444,5.35,0.00157,-0.0497,0.734674497262803,-0.37112254150391,0.567909713122893
